state,year,High blood pressure,Age - 25 to 34 years,Age - 35 to 44 years,Age - 45 to 54 years,Age - 55 to 64 years,Age - 65 years or more,Education - Bachelor degree or higher,Education - High school graduate,Education - Some college or associate degree,Employment status - Unemployed,Gender - Male,Household income - 15000 to 24999,Household income - 25000 to 34999,Household income - 35000 to 49999,Household income - 50000 or more,Marital status - Divorced,Marital status - Never married,Marital status - Separated,Marital status - Widowed,Race - American Indian and Alaska native,Race - Asian,Race - Black or African American,Race - Native Hawaiian and other Pacific Islander,Race - Some other race,Race - Two or more races
mississippi,2009,37.4,13,12.6,13.7,11.1,12.7,17.4847584098642,30.7734458885464,32.0095931022059,10.7,48.6098897152977,15.1,12.2,14.6,37.1,11.3,31.7,3.1,7.2,0.458571082074637,0.780692114758963,37.1292508526434,0.0115853815520075,0.815820888646191,1.24160059837479
missouri,2009,30.6,13,12.9,14.9,11.7,13.7,23.1223408618462,31.7647933051147,31.2901842888495,9,48.9089582101617,12.2,11.8,15.7,45.4,11.8,29.3,2,6.4,0.313599150240999,1.45023532044666,11.1757504701399,0.0636150164173172,1.01486744227217,2.11901970412086
montana,2009,27.7,12.1,11.6,15.1,13.2,14.5,24.3872191687914,31.222324347354,34.2352890037999,7.9,49.8053824196991,14,12.1,16.6,42.4,12.5,29.3,1.4,6.7,6.73966578084471,0.538467613480767,0.301952124588072,0.0286157074592636,0.753854658873074,2.22935848507009
nebraska,2009,27.1,13.3,12.2,14.1,11.1,13.4,24.7405515370705,28.4546749473809,36.0380058103341,6,49.587058379559,12,12.3,15.6,47.3,9.8,29.5,1.4,6,0.933641021873271,1.6649579043338,4.27429921263349,0.0531553103546545,2.83220399171334,2.09248244761558
nevada,2009,27.5,14.7,14.3,13.7,11.2,11.6,20.0277745120521,29.1459905201458,33.8107807422396,12.1,50.9434619015279,10.4,11,15,53.4,13.7,30.5,2.3,5,1.17434740085922,6.61174347400859,7.66906853165903,0.528662528825217,4.51741052595736,3.33303696248891
new hampshire,2009,28.6,11.1,14.1,16.8,12.8,13.5,29.3643855439377,30.1558848986468,31.0144288209337,7.8,49.356133099296,9,8.8,14.1,58.7,11.9,28.7,1.1,6,0.243247834210973,1.89011569748787,1.25632750127399,0.010191948360795,0.808259252967933,1.27505048789234
new jersey,2009,28.1,12.8,14.4,15.6,11.6,13.4,32.0477336297186,29.5021777654284,25.7911454141866,9.8,49.007365860717,8.2,8.2,11.3,62.7,8.3,33.3,2,6.6,0.263294494323441,7.77494504888754,13.6526928916114,0.0191438880811784,5.45891356425433,2.14816932981462
new mexico,2009,26.6,13.6,12.1,13.7,11.5,13.2,22.527743016005,27.0555090405505,32.5748953412387,9,49.2127318352108,13.6,11.4,15.7,43.3,12,32.4,1.9,6,9.37566397683999,1.406349596526,2.16020433195284,0.0650355207394643,11.4740671483044,3.03577053159448
new york,2009,28.5,13.6,13.9,15.1,11.7,13.4,29.9851245290941,27.3839321947084,27.2563630179965,9,48.600342052354,10.3,9.5,12.6,53.8,8.5,36.9,2.8,6.4,0.328691013917952,7.03078732170018,15.704497511009,0.0316813698551484,7.54160399433962,2.00419590088823
north carolina,2009,31.5,13.1,14.1,14.1,11.4,12.7,24.0627476827972,27.5019822362323,32.5467533271538,11,48.8243218869352,12.8,12.4,15.1,44.1,10.2,29.6,3.1,6.3,1.06888647168007,1.96436711081813,21.0215050095492,0.0327900867338302,3.40234459780123,2.05593630621592
north dakota,2009,26.8,12.9,11.5,14.3,11.4,14.7,23.3065163378637,27.1982251566475,40.0684329311147,3.8,50.0558094378243,11.4,12.2,14.8,47.5,8.1,29.7,1,6.5,5.72873830475354,0.779786161732968,1.07630278707076,0.0333929046261541,0.606637767375132,1.60455998664284
ohio,2009,31.7,12.8,13.2,15.2,12,13.9,22.1860968372082,34.866610416804,30.1027733017265,11.1,48.7948905991651,12.3,11.6,15.5,45.5,11.9,30.5,1.9,6.7,0.173201203017159,1.55708678556778,11.812379225039,0.0199174452649284,0.675841629020038,1.7718815748037
oklahoma,2009,34.4,13.6,12.3,13.8,11.3,13.4,20.4209696260626,31.8,32.9132600670091,6.8,49.3285146661966,13.7,12.7,15.5,42.1,12.6,26.8,2.2,6.7,6.05698322507153,1.61782454808044,7.27985788096174,0.0854341546765029,2.46736550901127,7.14140030647808
oregon,2009,27.2,13.8,13.3,14.3,12.9,13.5,26.4595503932307,24.9933745297335,36.8404758864919,11.8,49.5394124460191,12,11.5,15,48.5,12.4,29.5,1.9,5.5,1.2706575628709,3.60066257900277,1.78259577374553,0.358239120757559,3.90008827241961,3.48246065969845
pennsylvania,2009,31.4,12.2,13.1,15.4,12.3,15.4,24.4971719115297,36.9537929064822,26.3749201935006,9.1,48.6807887841164,11.6,11.1,14.5,49.6,9.1,32.1,2.2,7.4,0.13297350121585,2.46724116360104,10.5143871362319,0.0239591894082612,1.82121573528491,1.53499069042688
rhode island,2009,30.2,12.7,13.5,15.5,12,14.4,27.595929437616,27.8853343110137,29.2797355181101,9.6,48.5165812293666,10,9.1,13.4,53.7,10.4,34.3,2,6.8,0.37039182156628,2.95686801005309,5.99795482188246,0.00721604164035818,6.2889701854048,1.81426478505216
south carolina,2009,32.7,13,13.2,14.2,12.2,13.6,22.0991394576233,30.4458401564225,30.763340073109,11.7,48.6522968963278,13.2,12,15.2,42.8,10,31.5,3.2,6.9,0.262932771381128,1.25700412299983,27.9271742214072,0.0595671091338719,1.4371305008592,1.48268826780074
south dakota,2009,29.9,12.7,11.3,14.2,11.9,14.4,22.528858887545,31.7010409908485,34.5474871791528,5.2,49.7354080526057,13,11.7,16,44.9,10.6,28.6,1.6,6.7,8.58006629877779,1.01060706587902,1.04999735346505,0.00726258427367387,0.952506391689634,2.0726676949173
tennessee,2009,32.6,13.4,13.7,14.5,11.9,13.3,21.127322103481,33.3819277288953,28.7646716635389,11.1,48.8085137607219,13.2,12.3,15.5,41.9,12.5,27.7,2.5,6.7,0.207583747415527,1.37286392829768,16.5054649955354,0.0336072845854059,1.1479365349619,1.61648497662261
texas,2009,29.1,14.6,13.9,13.4,9.8,10.2,22.9102533706743,26.1500359090397,30.8529236876882,8.2,49.8993233154854,11.9,11.1,14.5,48.2,10.7,30.9,2.8,5.4,0.561005188299295,3.56475762421102,11.5273673930695,0.0780355271273831,8.37492820481326,2.14327143620476
utah,2009,23.1,16,11.9,11.3,8.4,9,24.4048956867128,25.2993880391609,40.0606576607396,7.8,50.4087881369201,8.8,10.5,15.8,55.3,9.2,29.5,1.5,3.9,1.12124951339021,2.03837429953329,1.16312309396202,0.807341307748552,3.33706580400866,2.18608102070983
vermont,2009,27,11.1,12.9,16.4,13.8,14.4,29.7776800536394,31.8326459433151,28.9534647526648,7.6,49.2651505404014,11,10.4,14.8,51.8,11.6,30.7,1.2,5.8,0.312660833762223,0.971757591353577,0.827489706639218,0.00611168296448791,0.331478383942357,1.79908646423057
virginia,2009,27.5,13.5,14.2,14.9,11.4,12.1,30.9353548892947,25.8672553083587,29.8386182119077,7.4,49.1180310025004,8.8,9,13.8,57.7,9.6,31.2,2.7,5.6,0.317230757910788,4.96643869591086,19.5714479631695,0.0779819830791656,2.20702840056377,2.4157161542082
washington,2009,28,14.2,13.7,14.8,12,12,28.1260504204981,25.0046106937197,35.7681936490184,9.5,49.9467377530219,9.6,9.8,14.2,55.6,12.1,30,1.8,5,1.3200844212992,6.62091970598099,3.4442869693939,0.446715619816047,3.74880987125977,4.25307182637963
west virginia,2009,37.6,12.2,13.1,14.8,13.6,15.8,15.8768072585113,40.3086019909338,26.6337973038422,7.7,49.0885421675293,15.4,12.8,15.5,37,12.1,25.1,1.7,8.2,0.176889805728944,0.627384564152641,3.09548917257444,0.0081328646312158,0.182989454202356,1.65465328993607
wisconsin,2009,27.7,12.5,13.1,15.5,11.9,13.4,23.2379499545372,33.8840411387005,32.3620500454628,8.2,49.6969993849445,11.4,11,15.5,49.9,10,31,1.1,5.8,0.856762799008413,2.12415208812943,6.0042541045849,0.0215039540041742,1.0530040634692,1.56248507897928
wyoming,2009,26.1,13.5,12.1,15,12.5,12.2,21.1062530001037,30.9283552315779,38.972201973616,5.9,51.2589339849707,10.8,10.4,16.2,52.4,11.6,25.6,1.1,5.7,2.57574365664101,0.670439304021901,0.946589009131497,0.0659599096036893,1.85073584801661,2.55975894317159
alabama,2011,40.1,12.7,12.8,14.3,12.7,14,20.2683239668199,30.6625313727452,31.8031811528641,11.6,48.3976438449718,13.8,11.7,14.5,42.3,12.4,29.1,2.7,7,0.508209896850548,1.12975093384193,26.6742526141328,0.0399563582455015,1.21803387233121,1.34194230793256
alaska,2011,29.4,14.7,12.9,14.9,12.6,8.1,23.3498442455028,29.2329149945275,37.7212119851448,8.8,51.5991022777902,7.2,8.1,12.6,64.1,12.4,32.3,2.1,3.8,14.1539300252657,5.25391646534333,3.20221718567961,1.07718363178999,1.18981400767658,8.33367924972119
arizona,2011,27.5,13.4,12.7,12.9,11.7,14.2,23.9089095954065,25.3860115538169,35.7789340536682,11.1,49.8034941739343,12.3,11.4,15,47.2,12.6,32.1,2,5.6,4.47067915875113,2.73500753181062,4.10242645397111,0.184203483067117,6.20431453581602,2.99719012943299
arkansas,2011,35.8,13,12.5,13.7,12.4,14.6,18.5184585635037,35.3182411207508,30.0523773875704,9.4,49.2804747753473,14.7,12.3,15.2,39.2,13.4,26.1,2.4,6.8,0.570868614105138,1.16889875659424,15.7715218522665,0.247755344745487,2.13565175244615,1.9479036439675
california,2011,27.8,14.3,13.7,13.9,11.1,11.7,27.2050846038463,22.1783189389314,32.2367207191436,12.3,49.7472561222153,10.4,9.4,12.7,55.7,9.7,36.3,2.4,5.2,0.768326637290249,13.1875161971088,5.9798107349927,0.389722866804953,12.5716334050658,4.22904255958148
colorado,2011,25,14.6,13.8,14.3,12.3,11.2,33.3247230930151,23.1729641771721,32.9035830800683,9.3,50.2098578876312,10,9.6,14,54.9,11.9,30.9,1.7,4.6,1.00994841303034,2.80957067665,3.9720754941178,0.116264162182741,4.32315456781939,3.3765856602452
connecticut,2011,29.8,12,13,16,12.9,14.4,33.3847783776465,27.7718779988686,27.5240552967514,10.6,48.6997128222372,8.8,8.1,11.4,61.2,10.7,33.1,1.6,6.2,0.208925103938913,3.94002975388394,10.0450218099265,0.0395452409006149,5.45403158983319,2.47392346040966
delaware,2011,34.8,12.6,12.5,14.7,12.8,14.8,26.393322514982,31.0536191655635,29.1497772273704,8.9,48.4953176759799,9.2,9.3,14,57.4,11.3,33.4,1.9,6.3,0.308002667739642,3.29939865620883,21.3748780501248,0.00242521785621765,2.16968808391254,2.65980256521907
florida,2011,34.2,12.3,12.7,14.4,12.8,17.6,23.6430207032097,30.3761659746211,31.4518008653491,12.4,48.910552053355,13.1,12.2,15.1,44.9,12.9,31.1,2.6,7.2,0.33276064667731,2.43034489967279,15.9864687691624,0.0658269571175548,2.68875702858218,2.22211762671178
georgia,2011,32.4,13.5,14.2,14.2,11.4,11,24.6930066583951,29.5640241261906,29.3620648899755,12.2,48.9953449798833,12.1,11,14.5,46.6,11.4,33.2,2.7,5.6,0.254502960201565,3.28919095974513,30.7882052447171,0.0576554144027484,2.93022767724786,1.93815516937488
hawaii,2011,28.7,14,12.8,13.7,13,14.8,26.4578236503611,29.6743005998395,34.3822496643944,7.7,50.086921101825,7.3,8.4,13.6,60.2,9.4,32.5,1.4,6.2,0.286730530036878,38.101555851354,1.91160960423622,9.31670558113485,1.29268771684815,24.1162051483478
idaho,2011,29.4,13,12.3,12.9,11.8,12.9,22.5956952715383,28.1863717584928,37.4472922203827,10,50.1527774710802,13.3,13.3,16.2,43.5,12.4,25.9,1.2,4.9,1.29408164746039,1.31944466351417,0.529468733142585,0.0811995066199365,1.82575860339372,2.4896134663735
illinois,2011,31,13.8,13.3,14.4,12,12.8,28.5933749860198,27.6896083781801,30.6481915012598,11,49.0261949036848,11.1,10,13.2,53.2,10,34.6,1.8,6,0.200617611317015,4.65539624309372,14.5098020018091,0.0107076872102737,6.08929387465121,2.04797339147499
indiana,2011,32.8,12.8,12.8,14.2,12.3,13.1,20.974843815585,34.8789521034461,30.6766447308912,10,49.2016016149955,12,11.8,15.1,46.8,12.5,30.4,1.6,6,0.196672600961006,1.57582060979094,9.03968161656684,0.0120609085086487,2.41100016234658,2.18460494079874
iowa,2011,29.9,12.6,11.8,14.1,12.8,15,23.6836834437126,32.075117139408,34.5418944062592,6,49.3827043580514,11.1,11.6,15.1,49.6,10.8,28.8,1.3,6.5,0.392155069916197,1.82999168274658,2.88207362483668,0.0329816488146689,1.41370449552935,1.98830359705699
kansas,2011,30.8,13.1,12.2,13.9,12.1,13.3,27.2001123870022,27.5685842728002,34.7341797493979,7.4,49.5670508679531,11.6,11.6,15.5,49,11.7,28.8,1.5,5.8,0.829955580136512,2.34167282545021,5.83960646940449,0.0571878750559863,2.50038485141253,3.36227787456143
kentucky,2011,38,12.9,13,14.6,12.7,13.6,19.2577020037036,33.8223934526129,30.1587078173772,10.4,49.063180020122,13.4,11.7,15,41.4,13.2,27.8,2.4,6.7,0.221130985893573,1.15403734554932,7.98236628006507,0.0166843809476728,0.959203141149405,1.83658644431811
louisiana,2011,38.4,13.8,12.4,14,12.3,12.5,19.0739079137906,33.9690241429244,29.0378764771726,9.3,48.8786264687958,13,11.4,13.4,43.2,12,34.5,2.8,6.7,0.630186524719138,1.58440652298793,32.1295889076679,0.0683303182890053,1.04965511331991,1.69756904946975
maine,2011,32.2,10.9,12.6,16.1,15,16.4,26.4921425776043,33.1492530244851,31.0751512951546,8.6,49.019867669336,13.1,11.4,14.4,46.4,13.7,27.5,1.2,6.4,0.61346737058308,1.0162717928486,1.02380084747039,0.0100889331931925,0.24461898466181,1.88730812204296
maryland,2011,31.3,13.3,13.4,15.4,12.4,12.6,33.7553148980388,26.2293947528782,28.6753344577686,8.9,48.3883348955414,7.6,7.7,10.9,64.5,10.3,35.1,2.7,5.7,0.249301295800534,5.65809279532981,29.6128589368166,0.0330114035182538,3.25819464340221,2.6070258355411
massachusetts,2011,29.2,13.1,13.2,15.4,12.7,14,35.8703614270451,25.9919002845963,27.2720952279327,9.3,48.3912953189174,9.2,8.2,11.2,59.1,9.5,35.6,2,6,0.199771204286398,5.55546110108544,6.84819027933965,0.0130245967536268,4.28714165660727,2.55115114361424
michigan,2011,34.2,11.8,12.6,15,13.3,14.1,23.3829985407027,30.4458045005856,34.3595812373353,13.1,49.0946252840291,12.5,11.3,14.6,46.7,11.5,32.5,1.5,6.4,0.554049857500673,2.45268745923908,14.055414301086,0.0214455234596105,1.06564405878504,2.56000620482378
minnesota,2011,26.3,13.5,12.5,15,12.4,13.1,29.6728808762785,26.7630411831235,34.8788902684894,7.7,49.7014047699276,9.7,9.5,13.6,56.3,9.8,31.5,1.2,5.3,1.13832707716814,4.04631663947856,5.22262412436918,0.0142753946267265,1.40317961496099,2.52524808409424
mississippi,2011,39.3,12.7,12.9,13.6,12.1,13,17.9406213410666,30.1577112519655,32.9734749082782,11.3,48.5690170125217,14.7,12.4,14.9,37.6,11.5,33.5,3.2,7,0.39667458113313,0.909078089999302,37.4468526566285,0.00362597162610055,0.646799475711362,1.15299182947727
missouri,2011,34.3,13.1,12.3,14.5,12.6,14.2,23.9239116309292,31.1439896036387,32.0864847303444,9.4,49.0086326224219,12.5,11.7,15.5,45.8,12,29.5,1.9,6.4,0.371438344495672,1.60026605939287,11.4525824664331,0.0946979780018527,1.02251189880426,2.41459879468041
montana,2011,30.2,12.6,11.1,14.5,14.6,15.1,25.7769182638222,30.9440202134357,34.9081783911818,7.9,50.1213685848213,13.3,12.2,16.4,43.8,12.7,28.3,1.2,6.3,6.67642424005634,0.572430948137596,0.431276729389631,0.0969746513470761,0.515829008043486,2.416852751806
nebraska,2011,28.6,13.3,11.9,13.9,12.2,13.6,25.5249073273445,28.5695491004077,36.4212863102065,6.3,49.5210949935446,11.5,11.1,14.7,50.2,10.7,29,1.3,5.8,0.976044709739987,1.87323520968002,4.54201333846365,0.0376090622101646,2.19755231757027,2.19114846570764
nevada,2011,30.8,14.2,14,13.8,12,12.5,20.4069309136553,29.6113546181255,33.4525838757918,12.7,50.4071865170553,11.3,11.5,15.9,49.1,14,31.9,2.7,5,1.20459497628264,7.14917295861452,8.17204135243647,0.600736894131506,7.43955360401745,3.88661348162281
new hampshire,2011,30.7,11.1,13.2,16.9,14.1,14,30.6587254038179,29.49153010279,30.9504787077827,6.9,49.3903021861729,8.7,9.5,12.7,59.6,11.8,28,1.3,5.3,0.163405386460567,2.20013139188921,1.11174834660149,0.00887578004451545,0.664242137348524,1.71765309203349
new jersey,2011,30.6,12.7,13.8,15.5,12.3,13.7,32.7419661500016,29.342901030134,25.9009348801324,10.9,48.729922555493,8.8,8.2,11.2,62.1,8.6,33.8,2.1,6.4,0.239231710586652,8.47530737188044,13.4098652614085,0.0381469320060695,6.17609598743022,2.45790942342584
new mexico,2011,28.4,13.2,11.8,13.6,12.8,13.6,22.7445366516861,26.7209715616333,33.1027514092623,11.2,49.7812915421204,13.7,11.6,14.6,42.8,13.4,32.6,1.9,5.7,9.16447990225836,1.23123160620567,2.13065453092463,0.0562379455812631,12.6413392603293,3.08396214816465
new york,2011,30.7,13.9,13.2,14.8,12.3,13.7,30.4128008652949,27.2512800865295,27.3751906134605,9.6,48.4865732414627,10.6,9.2,12.1,54.2,8.7,37.7,2.8,6.2,0.347959488927854,7.43768480740267,15.5975765362149,0.0285740750530293,8.58393572898338,2.70628136976985
north carolina,2011,32.4,12.9,13.7,14.2,12.3,13.2,24.4775261192799,27.6284471198854,32.4444069497217,11.7,48.5464822763678,12.8,12.2,14.8,44.6,10.6,30.5,3.3,6.2,1.15605182510544,2.18847580998345,21.6598088666782,0.0427902693767585,2.73779019740377,2.12144255401158
north dakota,2011,29.1,13.7,11,13.8,12.7,14.4,23.4759149466633,27.0427908173035,40.1812942360332,3.1,50.2892100384249,11.2,10.2,14.2,51.5,9.6,30.4,0.8,6.1,5.63140780077552,1.03372849932449,1.00258505231514,0.02149336483744,0.637782703543627,1.85018393641473
ohio,2011,32.7,12.3,12.6,14.8,13.1,14.3,22.580909676152,34.264068617744,30.9564808854007,10.4,48.8657595861602,12.2,11.6,14.6,46.4,12.2,31,1.9,6.6,0.169675904211287,1.68743895058541,12.096049606447,0.0171590160928357,0.858713042610575,2.3048950142794
oklahoma,2011,35.5,13.6,12.3,13.6,12.1,13.6,21.511778316628,31.6572556922134,32.4675171007135,7.5,49.5276022099914,13,12.3,15.2,43.7,13.3,26.7,2.1,6.4,6.8767624913359,1.72788769006949,7.26338965920684,0.142238919184662,2.39313750623762,7.95585819679136
oregon,2011,29.9,13.7,13,13.7,13.6,14.3,26.6799807896701,25.7064859283171,36.419177072262,12,49.4366142981963,12.1,11.3,15.1,47.3,12.9,29.8,1.8,5.4,1.34369562527974,3.949239887093,1.80964751040779,0.389993540570563,4.33174348549366,3.4784582806347
pennsylvania,2011,31.4,12.1,12.4,15.1,13.3,15.6,24.9679574336614,36.6363819093061,26.8035545381213,9.4,48.7867348103091,11.6,10.6,14.1,50.1,9.4,33.3,2.3,7.2,0.135879737133331,2.81072906090504,10.772167309666,0.0157656593647624,2.03672857153395,1.94038461930837
rhode island,2011,32.9,12.3,12.7,15.2,12.9,14.6,28.462135616682,26.3279272026416,30.528861321657,10.3,48.35870187634,10.5,9.2,12.8,53.3,11.4,35.3,1.9,6.5,0.41567503914194,3.16131806084265,6.03033191223835,0.0178825874962665,5.93131183998509,2.73527492575873
south carolina,2011,36.4,12.7,12.9,13.9,13,14,21.6729282664905,30.8217653814046,31.2941281551822,11.9,48.6037660042357,13.2,11.8,14.9,43.3,10.1,31.2,3.6,6.9,0.283038021212892,1.35398345454273,27.8911914994561,0.0436396586617884,1.62180529702537,1.80352322924926
south dakota,2011,31,12.7,11.7,14.1,12.3,14.6,23.5112978578764,30.9102766969929,35.1125822642001,5.5,49.8136107814514,12.4,11.5,14.3,48.8,10.5,30.1,1.1,6,8.68020415444094,0.953181843554404,1.15486080268711,0.00764487029203405,0.853191794020498,2.44393155050104
tennessee,2011,38.7,13,13.1,14.4,12.7,13.7,21.5730984292574,33.8280413254984,29.0380598094933,10.6,48.708090901751,13.7,12.4,15,42.4,13.1,28.8,2.3,6.7,0.292534239483596,1.44121368914067,16.7328429340066,0.0359030651597686,1.67148367425628,1.89703738026
texas,2011,31.3,14.3,13.7,13.4,10.6,10.5,23.6750794932457,26.0647503640942,31.2178138653531,8.5,49.6253955404548,11.7,10.9,14.1,49.5,11,31.4,2.7,5.2,0.501556377662492,3.89145243907802,11.7306033909438,0.0729356676330273,6.8947692086223,2.32486627584584
utah,2011,22.9,15.7,12.3,10.8,9.1,9.2,25.7237786155258,24.5287753022375,39.7246015402788,8,50.3204575287287,9.5,10.1,14.6,55.4,9.4,29.2,1.6,3.6,1.12859405471063,2.01187552844611,1.15447060969991,0.965809581211562,4.0035183595755,2.46192880788238
vermont,2011,29.3,11.3,12.4,16,15,14.9,32.2420371221354,29.5684074244271,29.963239096122,6.4,49.230162619666,10.7,10.4,14.8,52.4,12,30.8,1.1,5.2,0.341617831812283,1.23445359504878,0.829141597398596,0.039110452707481,0.195871532539098,2.17725495705034
virginia,2011,31.2,13.6,13.7,14.9,12.3,12.5,32.062071340949,26.1019186480171,29.6095932400856,7.6,49.1413313532439,8.8,9,12.5,59.3,10.1,31.4,2.6,5.6,0.30103979396794,5.6226289441845,19.5322878579711,0.0627917581247644,2.14860452604573,2.97341947315195
washington,2011,30,14,13.4,14.3,12.8,12.6,28.9805513204704,24.5235155423182,35.7581782987377,10.3,49.8981264818732,9.5,9.7,13.8,55.8,12.4,30.2,1.7,5,1.34264260315975,7.34566923346547,3.50898486948389,0.590040641062319,4.08018227717035,4.69717738027226
west virginia,2011,37,11.8,12.6,14.5,14.7,16.2,17.3366056465874,40.7690040332768,26.0943903201358,8.9,49.2881181266857,14.9,12.4,14.5,39.2,12.9,27.6,2,8.1,0.152746307463118,0.619393283474294,3.02786946388957,0.00679112023301088,0.239952914899718,2.06789611095181
wisconsin,2011,28.9,12.8,12.5,15.1,12.9,13.9,24.1822928877388,32.8845655948089,32.87692748293,8.2,49.6366886114227,11.5,10.9,15,50.5,10.5,31.2,1.2,5.8,0.841508415872006,2.28680546667958,6.24237648349451,0.025998959691458,1.36136505568242,2.04484881823786
wyoming,2011,28.6,14,11.7,14.2,13.5,12.7,22.3985057739334,30.7071245326936,38.344241422228,5.1,50.9393513776097,10.4,11.2,14.4,55.1,12.9,28,1.3,5.2,2.1545063169048,0.850643658982185,0.893941474026591,0.0353774830240884,2.61001341176222,2.75275539550618
